cycle,id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,len_answer,experience
Summer,1,1,0,1,0,0,1,1,2,2,2,5,0,3,6,74,"None, I just finished my undergrad!"
Spring,2,1,1,0,0,0,0,0,4,9,7,7,6,3,8,597,"None, I just finished my undergrad!"
Fall,3,0,0,0,0,0,0,0,7,5,4,3,2,9,9,548,"5+ years, I'm a veteran!"
Spring,4,0,0,1,0,0,0,0,7,7,5,4,1,6,8,954,"5+ years, I'm a veteran!"
Fall,5,0,0,1,0,0,1,1,7,6,8,8,4,6,7,612,"2-5 years, I'm getting good at what I do!"
Spring,6,1,0,0,0,0,0,0,1,2,9,9,2,1,2,360,"None, I just finished my undergrad!"
Fall,7,1,0,1,0,0,1,0,8,7,8,8,6,8,8,910,"2-5 years, I'm getting good at what I do!"
Summer,8,1,1,1,0,1,0,0,7,9,8,6,8,6,8,904,"2-5 years, I'm getting good at what I do!"
Summer,9,1,1,1,0,0,1,1,5,4,7,8,4,3,6,928,"None, I just finished my undergrad!"
Fall,10,1,1,1,0,0,0,0,4,6,3,5,3,1,8,623,"None, I just finished my undergrad!"
Summer,11,1,0,0,0,1,0,0,1,3,2,1,3,4,6,555,"< 2 years, I'm fresh!"
Fall,12,0,1,0,0,0,0,0,1,2,7,6,1,7,8,1230,"None, I just finished my undergrad!"
Fall,13,1,0,0,0,0,1,0,1,5,10,9,1,1,2,163,"None, I just finished my undergrad!"
Spring,14,0,0,1,0,0,1,1,4,3,8,8,1,3,6,332,"< 2 years, I'm fresh!"
Spring,15,1,0,0,0,0,1,0,3,7,9,2,7,2,7,1187,"2-5 years, I'm getting good at what I do!"
Spring,16,1,0,0,0,0,1,0,1,3,8,6,5,3,6,704,"None, I just finished my undergrad!"
Fall,17,0,1,0,0,0,0,0,2,3,6,5,3,3,4,863,"None, I just finished my undergrad!"
Summer,18,1,0,0,0,0,1,1,5,3,7,5,1,9,10,199,"None, I just finished my undergrad!"
Summer,19,1,1,1,0,0,1,0,1,6,10,9,7,4,8,734,"None, I just finished my undergrad!"
Spring,20,1,1,1,1,1,1,0,5,9,9,7,8,8,8,215,"None, I just finished my undergrad!"
Fall,21,1,1,1,0,0,1,0,4,5,8,8,3,4,7,443,"None, I just finished my undergrad!"
Fall,22,1,0,0,0,0,1,0,7,3,6,4,2,4,3,329,"< 2 years, I'm fresh!"
Fall,23,1,1,0,0,0,1,0,5,2,6,7,1,4,4,472,"< 2 years, I'm fresh!"
Fall,24,1,0,0,0,1,0,1,4,3,6,6,1,4,5,1177,"None, I just finished my undergrad!"
Fall,25,0,0,0,0,0,1,0,2,2,7,5,1,6,6,411,"None, I just finished my undergrad!"
Fall,26,1,0,0,0,0,0,0,3,2,6,3,1,1,1,547,"None, I just finished my undergrad!"
Fall,27,1,0,0,0,0,1,1,5,5,8,9,1,7,6,203,"None, I just finished my undergrad!"
Fall,28,0,0,0,0,0,1,0,1,2,7,7,1,9,8,303,"2-5 years, I'm getting good at what I do!"
Fall,29,1,1,0,0,0,0,0,1,7,7,5,1,1,7,703,"< 2 years, I'm fresh!"
Spring,30,0,0,0,0,0,1,0,8,0,8,6,0,1,5,277,"< 2 years, I'm fresh!"
Spring,31,1,0,0,0,0,0,0,1,4,6,2,1,3,8,1324,"2-5 years, I'm getting good at what I do!"
Fall,32,0,0,1,0,1,0,0,1,6,3,5,1,7,7,845,"2-5 years, I'm getting good at what I do!"
Summer,33,0,0,0,0,0,1,1,4,2,5,6,3,3,6,974,"< 2 years, I'm fresh!"
Summer,34,1,0,0,0,0,1,0,2,2,8,7,3,2,2,116,"< 2 years, I'm fresh!"
Fall,35,1,0,0,0,0,0,0,5,3,5,5,1,7,6,628,"< 2 years, I'm fresh!"
Fall,36,0,0,1,0,0,0,0,1,2,5,4,1,1,5,327,"< 2 years, I'm fresh!"
Summer,37,1,0,0,0,0,1,0,8,3,3,4,4,6,8,398,"< 2 years, I'm fresh!"
Fall,38,1,0,0,0,0,0,0,7,5,4,5,4,7,9,1721,"5+ years, I'm a veteran!"
Spring,39,0,1,0,0,0,1,0,2,1,6,6,1,1,3,385,"2-5 years, I'm getting good at what I do!"
Summer,40,1,1,0,0,1,1,0,2,8,10,3,3,1,4,96,"2-5 years, I'm getting good at what I do!"
Fall,41,1,0,0,0,0,1,1,3,5,5,7,3,4,5,2022,"2-5 years, I'm getting good at what I do!"
Fall,42,0,0,0,0,0,1,1,4,1,6,8,1,6,6,379,"< 2 years, I'm fresh!"
Winter,43,1,0,0,0,0,0,0,1,1,8,7,8,1,3,366,"< 2 years, I'm fresh!"
Summer,44,0,0,0,0,0,1,1,7,3,9,10,6,6,10,204,"2-5 years, I'm getting good at what I do!"
Winter,45,1,0,0,0,0,0,0,5,8,7,6,7,6,7,461,"< 2 years, I'm fresh!"
Summer,46,1,1,0,0,0,1,0,1,6,6,3,5,1,4,366,"None, I just finished my undergrad!"
Spring,47,1,0,0,0,0,0,0,4,1,5,4,1,4,5,1069,"2-5 years, I'm getting good at what I do!"
Fall,48,1,1,0,0,1,0,0,7,10,9,9,9,10,10,231,"5+ years, I'm a veteran!"
Spring,49,1,0,0,0,0,1,0,2,2,4,3,2,4,4,312,"< 2 years, I'm fresh!"
Fall,50,1,0,0,0,0,1,0,5,5,8,8,3,7,7,304,"2-5 years, I'm getting good at what I do!"
Winter,51,1,0,1,0,0,1,1,6,5,8,8,8,8,8,882,"5+ years, I'm a veteran!"
Winter,52,0,0,0,0,0,1,0,3,1,6,6,1,3,7,308,"None, I just finished my undergrad!"
Spring,53,1,0,0,0,0,1,0,8,7,7,6,6,3,6,496,"None, I just finished my undergrad!"
Fall,54,1,1,0,0,0,1,1,6,5,4,4,3,7,6,556,"< 2 years, I'm fresh!"
Fall,55,1,0,1,0,0,1,0,6,7,6,6,8,6,9,1656,"None, I just finished my undergrad!"
Spring,56,1,1,1,0,1,1,1,4,6,8,6,6,4,6,1251,"None, I just finished my undergrad!"
Spring,57,1,0,1,0,0,1,1,1,2,8,7,7,2,4,393,"None, I just finished my undergrad!"
Fall,58,0,0,0,0,0,1,0,2,5,8,9,3,5,3,49,"< 2 years, I'm fresh!"
Fall,59,1,0,0,0,0,0,0,1,4,3,1,1,1,2,512,"None, I just finished my undergrad!"
Winter,60,1,0,0,0,1,0,0,6,8,4,3,2,6,7,648,"5+ years, I'm a veteran!"
Spring,61,0,0,1,0,0,0,1,2,3,3,2,3,4,5,662,"2-5 years, I'm getting good at what I do!"
Summer,62,1,1,1,0,0,1,0,4,8,8,6,5,3,5,193,"None, I just finished my undergrad!"
Spring,63,1,1,1,0,0,0,0,1,3,9,6,1,1,1,279,"< 2 years, I'm fresh!"
Summer,64,0,0,0,0,0,1,0,4,1,8,8,1,6,8,485,"2-5 years, I'm getting good at what I do!"
Fall,65,0,0,0,0,0,1,1,6,1,7,8,4,7,7,544,"< 2 years, I'm fresh!"
Fall,66,1,0,0,0,1,1,0,7,5,5,5,4,9,9,588,"None, I just finished my undergrad!"
Fall,67,1,0,0,0,0,0,0,5,5,4,4,1,6,9,447,"< 2 years, I'm fresh!"
Spring,68,1,0,0,0,0,0,0,7,4,4,4,4,8,8,1035,"5+ years, I'm a veteran!"
Fall,69,1,0,0,0,0,0,0,4,2,4,6,2,7,7,590,"None, I just finished my undergrad!"
Summer,70,1,0,0,0,0,0,0,4,6,6,5,1,7,8,381,"5+ years, I'm a veteran!"
Fall,71,1,0,0,0,1,0,0,8,5,6,5,3,6,7,710,"< 2 years, I'm fresh!"
Fall,72,1,1,0,0,0,1,0,1,3,7,6,1,1,5,236,"None, I just finished my undergrad!"
Summer,73,1,1,0,0,0,0,1,1,1,4,4,1,3,2,369,"None, I just finished my undergrad!"
Spring,74,0,0,0,0,0,1,0,2,3,7,4,1,5,8,633,"< 2 years, I'm fresh!"
Summer,75,0,0,0,0,0,0,0,1,2,5,8,2,10,10,536,"5+ years, I'm a veteran!"
Fall,76,0,0,0,0,0,1,0,4,6,8,9,2,3,8,205,"< 2 years, I'm fresh!"
Spring,77,1,1,1,0,1,1,0,4,7,6,5,1,3,2,332,"None, I just finished my undergrad!"
Spring,78,1,0,0,0,0,1,0,3,4,6,4,2,5,5,642,"2-5 years, I'm getting good at what I do!"
Fall,79,0,0,0,0,0,1,1,3,2,6,6,1,1,5,1349,"None, I just finished my undergrad!"
Fall,80,1,0,0,0,0,1,1,5,3,6,8,5,8,6,1482,"None, I just finished my undergrad!"
Spring,81,1,0,1,0,0,1,0,3,5,5,5,4,3,4,482,"None, I just finished my undergrad!"
Fall,82,1,0,1,0,0,1,0,2,4,7,6,4,3,5,2262,"None, I just finished my undergrad!"
Fall,83,1,1,0,0,0,1,0,3,7,4,4,7,6,7,660,"2-5 years, I'm getting good at what I do!"
Spring,84,1,0,0,0,0,0,0,3,7,8,8,5,8,8,98,"5+ years, I'm a veteran!"
Fall,85,1,0,0,0,0,1,0,6,3,3,7,3,3,9,742,"2-5 years, I'm getting good at what I do!"
Spring,86,1,0,1,0,0,1,0,6,8,8,7,6,5,6,431,"None, I just finished my undergrad!"
Summer,87,1,1,0,0,0,0,0,2,2,8,6,3,1,5,2989,"None, I just finished my undergrad!"
Fall,88,1,0,0,0,0,0,0,3,1,4,2,1,2,5,499,"None, I just finished my undergrad!"
Spring,89,0,1,1,0,0,0,0,1,5,9,9,1,7,5,304,"None, I just finished my undergrad!"
Fall,90,1,1,0,0,0,1,0,3,6,8,8,8,7,8,600,"2-5 years, I'm getting good at what I do!"
Summer,91,1,0,1,0,0,0,0,5,4,5,4,1,5,6,918,"2-5 years, I'm getting good at what I do!"
Winter,92,1,0,0,0,0,1,1,8,1,5,7,4,5,8,1271,"None, I just finished my undergrad!"
Fall,93,1,0,0,0,0,1,0,2,1,5,4,1,1,7,692,"< 2 years, I'm fresh!"
Spring,94,1,0,0,0,0,1,0,5,5,7,8,1,3,8,1405,"2-5 years, I'm getting good at what I do!"
Fall,95,1,0,0,0,0,1,0,5,6,5,6,4,1,9,836,"None, I just finished my undergrad!"
Fall,96,1,0,1,0,0,1,1,3,3,7,7,5,2,5,91,"None, I just finished my undergrad!"
Winter,97,1,0,0,0,0,0,0,6,2,2,4,3,7,8,454,"None, I just finished my undergrad!"
Fall,98,1,0,0,0,0,1,0,1,1,7,6,3,1,3,1021,"None, I just finished my undergrad!"
Spring,99,1,0,0,0,0,1,0,4,2,3,3,2,7,7,491,"2-5 years, I'm getting good at what I do!"
Spring,100,0,0,1,0,0,0,0,1,5,5,2,1,2,6,827,"2-5 years, I'm getting good at what I do!"
Summer,101,1,1,1,0,1,1,1,8,5,8,8,7,4,7,505,"2-5 years, I'm getting good at what I do!"
Fall,102,1,0,1,0,1,1,0,7,7,8,8,8,5,3,599,"None, I just finished my undergrad!"
Fall,103,1,1,0,0,0,0,0,2,8,5,4,4,1,5,928,"None, I just finished my undergrad!"
Winter,104,1,1,0,0,0,1,1,6,4,10,10,7,6,8,538,"None, I just finished my undergrad!"
Fall,105,1,1,1,0,0,0,0,4,8,7,7,6,1,2,402,"< 2 years, I'm fresh!"
Summer,106,1,0,1,0,0,1,0,3,3,5,5,3,7,7,478,"2-5 years, I'm getting good at what I do!"
Winter,107,0,0,0,0,0,0,0,8,2,6,7,1,7,7,595,"2-5 years, I'm getting good at what I do!"
Fall,108,1,0,0,0,0,1,0,7,4,5,7,7,8,6,388,"None, I just finished my undergrad!"
Fall,109,1,0,0,0,0,1,1,7,2,3,6,4,6,7,794,"2-5 years, I'm getting good at what I do!"
Summer,110,1,1,0,0,0,1,0,6,6,3,3,5,1,3,173,"None, I just finished my undergrad!"
Spring,111,1,0,0,0,0,0,0,5,4,8,8,1,3,7,273,"None, I just finished my undergrad!"
Spring,112,1,0,0,0,0,1,0,3,2,8,8,7,1,4,316,"None, I just finished my undergrad!"
Fall,113,1,0,1,0,0,1,0,3,8,5,6,6,2,2,567,"None, I just finished my undergrad!"
Fall,114,1,1,0,0,0,0,0,1,3,6,5,1,2,8,732,"< 2 years, I'm fresh!"
Fall,115,1,0,0,0,0,1,0,5,3,4,6,6,9,8,846,"None, I just finished my undergrad!"
Fall,116,1,1,0,0,1,1,0,2,10,7,5,3,1,7,587,"5+ years, I'm a veteran!"
Winter,117,1,0,0,0,0,0,1,8,7,5,9,6,8,8,685,"2-5 years, I'm getting good at what I do!"
Winter,118,1,0,1,0,0,1,0,5,7,5,7,5,7,8,897,"2-5 years, I'm getting good at what I do!"
Winter,119,1,0,0,0,0,1,0,5,3,9,8,2,7,9,554,"< 2 years, I'm fresh!"
Fall,120,1,0,0,0,0,1,0,6,4,8,8,2,9,9,324,"None, I just finished my undergrad!"
Fall,121,1,0,0,0,0,1,0,5,5,9,8,5,9,8,428,"None, I just finished my undergrad!"
Fall,122,1,0,1,0,0,1,1,2,3,5,6,2,3,4,422,"None, I just finished my undergrad!"
Spring,123,1,0,1,0,0,0,0,2,3,9,8,6,1,8,318,"None, I just finished my undergrad!"
Summer,124,1,0,0,0,0,0,0,4,3,8,7,3,1,3,534,"None, I just finished my undergrad!"
Fall,125,1,1,0,0,0,0,0,5,4,6,6,5,3,8,265,"< 2 years, I'm fresh!"
Fall,126,1,0,0,0,0,1,0,8,5,8,8,1,8,6,620,"< 2 years, I'm fresh!"
Fall,127,1,1,0,0,0,0,0,2,4,4,4,4,4,4,783,"None, I just finished my undergrad!"
Spring,128,1,0,0,0,0,1,0,7,3,7,9,5,7,8,937,"None, I just finished my undergrad!"
Fall,129,1,0,0,0,0,0,0,7,6,7,7,8,4,4,142,"< 2 years, I'm fresh!"
Fall,130,1,1,1,0,0,1,1,5,4,5,7,5,6,6,476,"None, I just finished my undergrad!"
Winter,131,1,0,0,0,0,1,0,2,2,5,3,1,1,8,407,"2-5 years, I'm getting good at what I do!"
Fall,132,0,1,0,0,0,1,0,5,4,7,8,4,3,8,756,"None, I just finished my undergrad!"
Fall,133,1,1,1,0,0,0,0,4,6,7,5,3,1,8,495,"< 2 years, I'm fresh!"
Fall,134,1,0,1,0,0,1,0,1,4,6,7,4,8,8,412,"2-5 years, I'm getting good at what I do!"
Fall,135,1,0,1,0,0,0,0,2,4,5,5,2,7,8,606,"None, I just finished my undergrad!"
Summer,136,1,1,1,0,0,1,0,1,4,8,8,2,1,2,169,"None, I just finished my undergrad!"
Summer,137,1,1,1,0,0,1,0,3,7,6,3,4,7,7,270,"5+ years, I'm a veteran!"
Spring,138,1,1,1,0,0,0,0,7,7,4,4,6,5,9,683,"< 2 years, I'm fresh!"
Fall,139,1,0,1,0,0,1,0,1,2,5,3,3,3,6,217,"2-5 years, I'm getting good at what I do!"
Summer,140,0,0,0,0,0,0,0,1,2,3,2,1,5,7,700,"2-5 years, I'm getting good at what I do!"
Fall,141,1,0,0,0,0,0,0,1,2,8,7,3,8,5,785,"None, I just finished my undergrad!"
Fall,142,1,0,1,0,0,0,0,2,2,7,7,5,3,6,47,"None, I just finished my undergrad!"
Fall,143,1,1,1,0,0,1,1,6,6,7,8,7,4,4,352,"None, I just finished my undergrad!"
Winter,144,1,0,0,0,0,0,0,1,1,2,1,1,8,8,233,"2-5 years, I'm getting good at what I do!"
Fall,145,1,0,0,0,0,0,0,3,2,7,6,1,8,8,353,"5+ years, I'm a veteran!"
Fall,146,0,0,0,0,0,0,0,3,0,4,3,0,4,7,427,"2-5 years, I'm getting good at what I do!"
Fall,147,1,1,0,0,0,1,0,1,3,4,4,3,1,2,343,"None, I just finished my undergrad!"
Fall,148,1,0,0,0,0,0,0,7,5,8,7,6,2,4,386,"None, I just finished my undergrad!"
Fall,149,1,0,0,0,0,1,0,5,5,7,7,5,3,7,680,"None, I just finished my undergrad!"
Fall,150,0,1,1,0,0,0,0,1,4,8,6,1,1,8,307,"< 2 years, I'm fresh!"
Fall,151,1,1,1,0,0,1,0,2,7,5,5,6,1,5,470,"None, I just finished my undergrad!"
Fall,152,1,1,0,0,0,1,1,1,1,4,4,3,1,2,165,"None, I just finished my undergrad!"
Winter,153,1,1,1,0,0,1,0,3,6,6,6,4,1,8,754,"None, I just finished my undergrad!"
Spring,154,1,1,0,0,0,1,0,8,7,6,8,2,8,10,265,"5+ years, I'm a veteran!"
Summer,155,1,1,0,0,0,1,0,4,2,5,6,6,1,2,402,"None, I just finished my undergrad!"
Fall,156,1,1,0,0,0,1,0,4,4,3,3,1,1,5,555,"< 2 years, I'm fresh!"
Summer,157,1,0,0,0,0,1,1,1,3,7,8,1,1,4,0,"None, I just finished my undergrad!"
Spring,158,1,0,0,0,0,1,0,1,3,5,5,1,1,6,222,"< 2 years, I'm fresh!"
